personid,anchor,var3,judgement,random,questionid,trueanswer
1,51,H,48,-3,1,30.5
2,51,H,48,-3,1,30.5
3,10,L,-28,-38,1,30.5
4,10,L,0,-10,1,30.5
1,27,L,3,-24,2,65
2,27,L,34,7,2,65
3,103,H,125,22,2,65
4,103,H,151,48,2,65
1,592,H,621,29,3,421.5
2,592,H,597,5,3,421.5
3,251,L,283,32,3,421.5
4,251,L,291,40,3,421.5
1,12,L,-19,-31,4,23.5
2,12,L,19,7,4,23.5
3,35,H,-1,-36,4,23.5
4,35,H,3,-32,4,23.5
1,105,H,68,-37,5,84.5
2,105,H,133,28,5,84.5
3,64,L,18,-46,5,84.5
4,64,L,66,2,5,84.5
1,81,L,45,-36,6,119
2,81,L,116,35,6,119
3,157,H,156,-1,6,119
4,157,H,138,-19,6,119
1,646,H,656,10,7,475.5
2,646,H,668,22,7,475.5
3,305,L,315,10,7,475.5
4,305,L,294,-11,7,475.5
1,66,L,82,16,8,77.5
2,66,L,64,-2,8,77.5
3,89,H,81,-8,8,77.5
4,89,H,135,46,8,77.5
1,159,H,208,49,9,138.5
2,159,H,120,-39,9,138.5
3,118,L,165,47,9,138.5
4,118,L,158,40,9,138.5
1,135,L,95,-40,10,173
2,135,L,118,-17,10,173
3,211,H,236,25,10,173
4,211,H,176,-35,10,173
1,700,H,738,38,11,529.5
2,700,H,703,3,11,529.5
3,359,L,311,-48,11,529.5
4,359,L,345,-14,11,529.5
1,120,L,70,-50,12,131.5
2,120,L,71,-49,12,131.5
3,143,H,135,-8,12,131.5
4,143,H,111,-32,12,131.5
1,61,H,11,-50,13,40.5
2,61,H,90,29,13,40.5
3,20,L,12,-8,13,40.5
4,20,L,65,45,13,40.5
1,30,L,35,5,14,76.5
2,30,L,57,27,14,76.5
3,123,H,80,-43,14,76.5
4,123,H,169,46,14,76.5
1,492,H,482,-10,15,356.5
2,492,H,509,17,15,356.5
3,221,L,270,49,15,356.5
4,221,L,241,20,15,356.5
1,13,L,52,39,16,34
2,13,L,-21,-34,16,34
3,55,H,70,15,16,34
4,55,H,31,-24,16,34
1,115,H,91,-24,17,94.5
2,115,H,82,-33,17,94.5
3,74,L,75,1,17,94.5
4,74,L,51,-23,17,94.5
1,84,L,95,11,18,130.5
2,84,L,120,36,18,130.5
3,177,H,223,46,18,130.5
4,177,H,190,13,18,130.5
1,546,H,541,-5,19,410.5
2,546,H,516,-30,19,410.5
3,275,L,281,6,19,410.5
4,275,L,270,-5,19,410.5
1,67,L,82,15,20,88
2,67,L,48,-19,20,88
3,109,H,64,-45,20,88
4,109,H,68,-41,20,88
1,169,H,198,29,21,148.5
2,169,H,127,-42,21,148.5
3,128,L,137,9,21,148.5
4,128,L,154,26,21,148.5
1,138,L,142,4,22,184.5
2,138,L,136,-2,22,184.5
3,231,H,271,40,22,184.5
4,231,H,274,43,22,184.5
1,600,H,557,-43,23,464.5
2,600,H,632,32,23,464.5
3,329,L,290,-39,23,464.5
4,329,L,281,-48,23,464.5
1,121,L,165,44,24,142
2,121,L,126,5,24,142
3,163,H,178,15,24,142
4,163,H,181,18,24,142
